반복 : 0 쌍 (23, 3) 이산형 비용: -inf, 연속형 비용: -0.4817876344086187, 총 비용: -inf
반복 : 0 쌍 (87, 1) 이산형 비용: 1.9999999999999964, 연속형 비용: -0.9329926770485883, 총 비용: 199.06700732295107
반복 : 0 쌍 (87, 8) 이산형 비용: 1.9999999999999964, 연속형 비용: -1.0220731368186762, 총 비용: 198.97792686318098
반복 : 0 쌍 (87, 4) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.5, 총 비용: 399.49999999999966
반복 : 0 쌍 (92, 3) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.4817876344085903, 총 비용: 599.5182123655911
반복 : 0 쌍 (92, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: -1.0126976402351886, 총 비용: 598.9873023597645
반복 : 0 쌍 (92, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: -1.1333872954076014, 총 비용: 598.8666127045921
반복 : 0 쌍 (92, 6) 이산형 비용: 16.0, 연속형 비용: -0.3846188225011815, 총 비용: 1599.6153811774989
반복 : 0 쌍 (92, 5) 이산형 비용: 9.999999999999996, 연속형 비용: -1.1506286747179217, 총 비용: 998.8493713252817
반복 : 0 쌍 (92, 0) 이산형 비용: 3.9999999999999964, 연속형 비용: -1.017137096774178, 총 비용: 398.9828629032255
반복 : 0 쌍 (92, 1) 이산형 비용: 1.9999999999999964, 연속형 비용: -1.0641754727475075, 총 비용: 198.93582452725215
반복 : 0 쌍 (92, 8) 이산형 비용: 1.9999999999999964, 연속형 비용: -1.1555547830923274, 총 비용: 198.84444521690733
반복 : 0 쌍 (92, 4) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.5020161290322562, 총 비용: 399.4979838709674
반복 : 0 쌍 (103, 3) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.5491662538074991, 총 비용: 399.4508337461922
반복 : 0 쌍 (103, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: -2.214032456697936, 총 비용: 597.7859675433017
반복 : 0 쌍 (103, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: -2.3347221118703487, 총 비용: 597.6652778881294
반복 : 0 쌍 (103, 6) 이산형 비용: 6.0, 연속형 비용: -0.3445743286191032, 총 비용: 599.655425671381
반복 : 0 쌍 (103, 5) 이산형 비용: 6.0, 연속형 비용: -2.3519634911806975, 총 비용: 597.6480365088194
반복 : 0 쌍 (103, 0) 이산형 비용: -inf, 연속형 비용: -2.1602822580645125, 총 비용: -inf
반복 : 0 쌍 (103, 1) 이산형 비용: 4.0, 연속형 비용: -2.2448206340378363, 총 비용: 397.75517936596214
반복 : 0 쌍 (103, 8) 이산형 비용: 6.0, 연속형 비용: -2.3568895995550747, 총 비용: 597.6431104004449
반복 : 0 쌍 (103, 4) 이산형 비용: -inf, 연속형 비용: -1.06133023230214, 총 비용: -inf
반복 : 0 쌍 (116, 3) 이산형 비용: -inf, 연속형 비용: -0.4817876344086187, 총 비용: -inf
반복 : 0 쌍 (116, 2) 이산형 비용: -inf, 연속형 비용: 0.5890821150484555, 총 비용: -inf
반복 : 0 쌍 (116, 7) 이산형 비용: -inf, 연속형 비용: 0.4683924598760427, 총 비용: -inf
반복 : 0 쌍 (116, 6) 이산형 비용: -inf, 연속형 비용: -0.4380114810106477, 총 비용: -inf
반복 : 0 쌍 (116, 5) 이산형 비용: -inf, 연속형 비용: 0.451151080565694, 총 비용: -inf
반복 : 0 쌍 (116, 0) 이산형 비용: -inf, 연속형 비용: 0.5070564516128968, 총 비용: -inf
반복 : 0 쌍 (116, 1) 이산형 비용: -inf, 연속형 비용: 0.5100180756395787, 총 비용: -inf
반복 : 0 쌍 (116, 8) 이산형 비용: -inf, 연속형 비용: 0.44622497219131674, 총 비용: -inf
반복 : 0 쌍 (116, 4) 이산형 비용: -inf, 연속형 비용: -0.47782258064518146, 총 비용: -inf
반복 : 0 쌍 (128, 3) 이산형 비용: -inf, 연속형 비용: -0.4817876344086187, 총 비용: -inf
반복 : 0 쌍 (128, 2) 이산형 비용: -inf, 연속형 비용: 0.5890821150484555, 총 비용: -inf
반복 : 0 쌍 (128, 7) 이산형 비용: -inf, 연속형 비용: 0.4683924598760427, 총 비용: -inf
반복 : 0 쌍 (128, 6) 이산형 비용: -inf, 연속형 비용: -0.4380114810106477, 총 비용: -inf
반복 : 0 쌍 (128, 5) 이산형 비용: -inf, 연속형 비용: 0.451151080565694, 총 비용: -inf
반복 : 0 쌍 (128, 0) 이산형 비용: -inf, 연속형 비용: 0.5070564516128968, 총 비용: -inf
반복 : 0 쌍 (128, 1) 이산형 비용: -inf, 연속형 비용: 0.5100180756395787, 총 비용: -inf
반복 : 0 쌍 (128, 8) 이산형 비용: -inf, 연속형 비용: 0.44622497219131674, 총 비용: -inf
반복 : 0 쌍 (128, 4) 이산형 비용: -inf, 연속형 비용: -0.47782258064518146, 총 비용: -inf
반복 : 0 쌍 (133, 3) 이산형 비용: 3.9999999999999964, 연속형 비용: -0.4817876344086187, 총 비용: 399.518212365591
반복 : 0 쌍 (133, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.21180776259336653, 총 비용: 599.7881922374063
반복 : 0 쌍 (133, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.33249741776577935, 총 비용: 599.6675025822339
반복 : 0 쌍 (133, 6) 이산형 비용: 6.0, 연속형 비용: -0.4113151517559288, 총 비용: 599.588684848244
반복 : 0 쌍 (133, 5) 이산형 비용: 6.0, 연속형 비용: -0.3497387970761281, 총 비용: 599.6502612029238
반복 : 0 쌍 (133, 0) 이산형 비용: -inf, 연속형 비용: -0.2550403225806406, 총 비용: -inf
반복 : 0 쌍 (133, 1) 이산형 비용: 4.0, 연속형 비용: -0.2770786985539644, 총 비용: 399.72292130144604
반복 : 0 쌍 (133, 8) 이산형 비용: 6.0, 연속형 비용: -0.35466490545050533, 총 비용: 599.6453350945495
반복 : 0 쌍 (133, 4) 이산형 비용: -inf, 연속형 비용: -0.48991935483871885, 총 비용: -inf
반복 : 0 쌍 (137, 3) 이산형 비용: 5.9999999999999964, 연속형 비용: -0.8072307699365524, 총 비용: 599.192769230063
반복 : 0 쌍 (137, 2) 이산형 비용: 5.9999999999999964, 연속형 비용: -2.48099574924521, 총 비용: 597.5190042507545
반복 : 0 쌍 (137, 7) 이산형 비용: 5.9999999999999964, 연속형 비용: -2.6016854044176227, 총 비용: 597.3983145955821
반복 : 0 쌍 (137, 6) 이산형 비용: 16.0, 연속형 비용: -0.3356755522008541, 총 비용: 1599.6643244477991
반복 : 0 쌍 (137, 5) 이산형 비용: 9.999999999999996, 연속형 비용: -2.618926783727943, 총 비용: 997.3810732162717
반복 : 0 쌍 (137, 0) 이산형 비용: 3.9999999999999964, 연속형 비용: -2.414314516129025, 총 비용: 397.58568548387063
반복 : 0 쌍 (137, 1) 이산형 비용: 1.9999999999999964, 연속형 비용: -2.5071862254356745, 총 비용: 197.49281377456398
반복 : 0 쌍 (137, 8) 이산형 비용: 1.9999999999999964, 연속형 비용: -2.6238528921023487, 총 비용: 197.3761471078973
반복 : 0 쌍 (137, 4) 이산형 비용: 3.9999999999999964, 연속형 비용: -1.3153624903666525, 총 비용: 398.68463750963303
반복 : 0 쌍 (145, 3) 이산형 비용: -inf, 연속형 비용: -0.4817876344086187, 총 비용: -inf
